101000000010,ABAN OFFSHORE LTD.,0,1,0.05,INE421A01028,0915-1530|1815-1915:1,2023-01-28,,NSE:ABAN-EQ,10,10,10,ABAN,10,-1.0,XX,101000000010
1010000000100,AMARA RAJA BATTERIES LTD.,0,1,0.05,INE885A01032,0915-1530|1815-1915:1,2023-01-28,,NSE:AMARAJABAT-EQ,10,10,100,AMARAJABAT,100,-1.0,XX,1010000000100
101000000010074,EMAMI PAPER MILLS LIMITED,0,1,0.05,INE830C01026,0915-1530|1815-1915:1,2023-01-28,,NSE:EMAMIPAP-EQ,10,10,10074,EMAMIPAP,10074,-1.0,XX,101000000010074
10100000001008,FACT LTD,0,1,0.05,INE188A01015,0915-1530|1815-1915:1,2023-01-28,,NSE:FACT-EQ,10,10,1008,FACT,1008,-1.0,XX,10100000001008
101000000010097,GUJARAT RAFFIA INDUST LTD,0,1,0.05,INE610B01024,0915-1530|1815-1915:1,2023-01-28,,NSE:GUJRAFFIA-BE,10,10,10097,GUJRAFFIA,10097,-1.0,XX,101000000010097
101000000010099,GODREJ CONSUMER PRODUCTS,0,1,0.05,INE102D01028,0915-1530|1815-1915:1,2023-01-28,,NSE:GODREJCP-EQ,10,10,10099,GODREJCP,10099,-1.0,XX,101000000010099
10100000001011,SCHAEFFLER INDIA LIMITED,0,1,0.05,INE513A01022,0915-1530|1815-1915:1,2023-01-28,,NSE:SCHAEFFLER-EQ,10,10,1011,SCHAEFFLER,1011,-1.0,XX,10100000001011
101000000010159,ORICON ENTERPRISES LTD,0,1,0.05,INE730A01022,0915-1530|1815-1915:1,2023-01-28,,NSE:ORICONENT-EQ,10,10,10159,ORICONENT,10159,-1.0,XX,101000000010159
101000000010176,SBI-ETF NIFTY 50,4,1,0.01,INF200KA1FS1,0915-1530|1815-1915:1,2023-01-28,,NSE:SETFNIF50-EQ,10,10,10176,SETFNIF50,10176,-1.0,XX,101000000010176
101000000010185,BALKRISHNA PAPER MILLS L,0,1,0.05,INE875R01011,0915-1530|1815-1915:1,2023-01-28,,NSE:BALKRISHNA-BE,10,10,10185,BALKRISHNA,10185,-1.0,XX,101000000010185
101000000010188,SHYAM CENTURY FERROUS LTD,0,1,0.05,INE979R01011,0915-1530|1815-1915:1,2023-01-28,,NSE:SHYAMCENT-EQ,10,10,10188,SHYAMCENT,10188,-1.0,XX,101000000010188
101000000010217,ADANI TRANSMISSION LTD,0,1,0.05,INE931S01010,0915-1530|1815-1915:1,2023-01-28,,NSE:ADANITRANS-EQ,10,10,10217,ADANITRANS,10217,-1.0,XX,101000000010217
101000000010227,MANORAMA INDUSTRIES LTD,0,1,0.05,INE00VM01010,0915-1530|1815-1915:1,2023-01-28,,NSE:MANORAMA-EQ,10,10,10227,MANORAMA,10227,-1.0,XX,101000000010227
10100000001023,FEDERAL BANK LTD,0,1,0.05,INE171A01029,0915-1530|1815-1915:1,2023-01-28,,NSE:FEDERALBNK-EQ,10,10,1023,FEDERALBNK,1023,-1.0,XX,10100000001023
101000000010238,CONFIDENCE PETRO IND LTD.,0,1,0.05,INE552D01024,0915-1530|1815-1915:1,2023-01-28,,NSE:CONFIPET-EQ,10,10,10238,CONFIPET,10238,-1.0,XX,101000000010238
101000000010243,SYNGENE INTERNATIONAL LTD,0,1,0.05,INE398R01022,0915-1530|1815-1915:1,2023-01-28,,NSE:SYNGENE-EQ,10,10,10243,SYNGENE,10243,-1.0,XX,101000000010243
101000000010276,KAYA LIMITED,0,1,0.05,INE587G01015,0915-1530|1815-1915:1,2023-01-28,,NSE:KAYA-EQ,10,10,10276,KAYA,10276,-1.0,XX,101000000010276
101000000010277,NGL FINE CHEM LIMITED,0,1,0.05,INE887E01022,0915-1530|1815-1915:1,2023-01-28,,NSE:NGLFINE-EQ,10,10,10277,NGLFINE,10277,-1.0,XX,101000000010277
101000000010285,AYM SYNTEX LIMITED,0,1,0.05,INE193B01039,0915-1530|1815-1915:1,2023-01-28,,NSE:AYMSYNTEX-EQ,10,10,10285,AYMSYNTEX,10285,-1.0,XX,101000000010285
